1,Inc5000 Company List,1,22890,1,227,Fuhu,CA,El Segundo,Los Angeles,158956.9106,195640000,Consumer Products & Services,2
2,Inc5000 Company List,2,25747,2,191,Quest Nutrition,CA,El Segundo,Los Angeles,57347.9246,82640563,Food & Beverage,1
3,Inc5000 Company List,3,25643,3,145,Reliant Asset Management,VA,Arlington,Washington DC,55460.1646,85076502,Business Products & Services,1
4,Inc5000 Company List,4,26098,4,62,Superfish,CA,Palo Alto,San Jose,26042.963,35293000,Software,1
5,Inc5000 Company List,5,26182,5,92,Acacia Communications,MA,Maynard,Boston,20690.4578,77652360,Telecommunications,1
6,Inc5000 Company List,6,22913,6,50,Provider Power,ME,Auburn,Lewiston-Auburn ME,19876.5169,137977203,Energy,2
7,Inc5000 Company List,7,22937,7,129,Crescendo Bioscience,CA,South San Francisco,San Francisco,18375.0693,27308000,Health,2
8,Inc5000 Company List,8,25413,8,130,Plexus Worldwide,AZ,Scottsdale,Phoenix,16457.6529,159897088,Health,1
9,Inc5000 Company List,9,26079,9,264,Vacasa,OR,Portland,Portland OR,16192.061,26263454,Travel & Hospitality,1
10,Inc5000 Company List,10,25861,10,11,Go Energies,NC,Wilmington,Wilmington NC,16006.8013,32851754,Energy,1
11,Inc5000 Company List,11,25231,11,113,Minute Key,CO,Boulder,Boulder CO,14588.3448,15782039,Consumer Products & Services,1
12,Inc5000 Company List,12,26450,12,135,Sainstore,KS,Lenexa,Waterloo-Cedar Falls IA,14086.513,19243863,Business Products & Services,1
13,Inc5000 Company List,13,22892,13,153,The HCI Group,FL,Jacksonville,Jacksonville FL,13230.9467,34583142,Health,2
14,Inc5000 Company List,14,26223,14,313,Dynamic Dental Partners Group,FL,Palmetto,Sarasota-Bradenton-Venice FL,12895.5867,19802935,Health,1
15,Inc5000 Company List,15,25021,15,159,Aseptia,NC,Raleigh,Raleigh-Cary NC,12427.4225,13887650,Food & Beverage,1
16,Inc5000 Company List,16,26535,16,34,Asentra Health,HI,Honolulu,Honolulu HI,12127.9133,20445071,Health,1
17,Inc5000 Company List,17,24632,17,436,American Solar Direct,CA,Los Angeles,Los Angeles,11560.3538,52086567,Energy,1
18,Inc5000 Company List,18,26246,18,42,Prescient Edge,VA,McLean,Washington DC,11497.7718,12315210,Government Services,1
19,Inc5000 Company List,19,22962,19,27,BlueSquare Resolutions,AZ,Scottsdale,Phoenix,11488.6004,46400872,Financial Services,2
20,Inc5000 Company List,20,25398,20,44,BES Design/Build,AL,Fairhope,Daphne-Fairhope-Foley AL,11374.9136,11819161,Engineering,1
21,Inc5000 Company List,21,25290,21,12,Simpler Trading,TX,Austin,Austin,10522.6415,11260000,Financial Services,1
22,Inc5000 Company List,22,24803,22,790,sweetFrog Premium Frozen Yogurt,VA,Richmond,Richmond VA,10371.7994,34382478,Food & Beverage,1
23,Inc5000 Company List,23,25925,23,17,Base Commerce,AZ,Tempe,Phoenix,10186.259,12479598,Financial Services,1
24,Inc5000 Company List,24,25323,24,102,CPSG Partners,TX,Dallas,Dallas,9531.6371,17095000,IT Services,1
25,Inc5000 Company List,25,25679,25,102,MedHOK,FL,Tampa,Tampa,9109.1892,17037000,Health,1
