44,Inc5000 Company List,44,26179,44,147,MCSG Technologies,OK,Norman,Oklahoma City OK,5715.29,7686703.00,IT Services,1
45,Inc5000 Company List,45,25965,45,20,Innovative Surveillance Solutions,TX,Tyler,Tyler TX,5604.78,10247444.00,Security,1
46,Inc5000 Company List,46,25677,46,379,Nordic,WI,Madison,Madison WI,5593.01,81410104.00,Health,1
47,Inc5000 Company List,47,25385,47,40,Michigan Realty Solutions,MI,Richmond,Detroit,5530.81,6178120.00,Real Estate,1
48,Inc5000 Company List,48,25931,48,17,Ohio Investments,OH,Enon,Springfield OH,5507.45,23809245.00,Real Estate,1
49,Inc5000 Company List,49,25654,49,30,Adore Me,NY,New York,New York City,5505.55,5637838.00,Retail,1
50,Inc5000 Company List,50,26146,50,35,IQ Formulations,FL,Sunrise,Miami,5486.21,8269660.00,Health,1
51,Inc5000 Company List,51,26092,51,32,MAX Digital,IL,Chicago,Chicago,5483.13,6577541.00,Software,1
52,Inc5000 Company List,52,25699,52,50,MaxHome,LA,New Orleans,New Orleans-Metairie-Kenner LA,5438.97,5792929.00,Construction,1
53,Inc5000 Company List,53,17948,53,1106,Alex and Ani,RI,Cranston,Providence-New Bedford-Fall River RI-MA,5220.92,230109687.00,Retail,5
54,Inc5000 Company List,54,25453,54,46,Crowdtap,NY,New York,New York City,5217.20,6261593.00,Advertising & Marketing,1
55,Inc5000 Company List,55,25107,55,30,Compass Automation,IL,Elgin,Chicago,5214.23,5703235.00,Manufacturing,1
56,Inc5000 Company List,56,25445,56,35,Multifamily Utility,CA,San Diego,San Diego,5196.07,5757194.00,Real Estate,1
57,Inc5000 Company List,57,21041,57,19,The Joint,AZ,Scottsdale,Phoenix,5139.47,5958067.00,Health,3
58,Inc5000 Company List,58,26233,58,70,Bizness Apps,CA,San Francisco,San Francisco,5078.59,5958067.00,Software,1
59,Inc5000 Company List,59,25846,59,60,EcoSense Lighting,CA,Los Angeles,Los Angeles,5059.15,15363997.00,Manufacturing,1
60,Inc5000 Company List,60,26043,60,61,PhotoBin,CA,San Diego,San Diego,5003.44,6385268.00,Consumer Products & Services,1
61,Inc5000 Company List,61,25914,61,44,PMG Worldwide,TX,Fort Worth,Dallas,5000.40,5764577.00,Advertising & Marketing,1
62,Inc5000 Company List,62,21105,62,19,Victor Securities,NJ,Englewood,New York City,4897.02,6494832.00,Financial Services,3
63,Inc5000 Company List,63,24951,63,89,eLan Technologies,TX,Irving,Dallas,4863.71,9149555.00,IT Services,1
64,Inc5000 Company List,64,25166,64,41,Centennial Lending Group,PA,Maple Glen,Philadelphia,4845.03,166889598.00,Financial Services,1
65,Inc5000 Company List,65,26157,65,143,Tough Mudder,NY,Brooklyn,New York City,4737.51,107900476.00,Health,1
66,Inc5000 Company List,66,21440,66,40,Netcom3 Global,CA,Laguna Niguel,Los Angeles,4724.78,30058088.00,Software,3
67,Inc5000 Company List,67,26204,67,3,Gideon Services,AL,Huntsville,Huntsville AL,4723.04,23252268.00,Government Services,1
68,Inc5000 Company List,68,22983,68,34,Viderity,DC,Washington,Washington DC,4722.89,18327000.00,Government Services,2
69,Inc5000 Company List,69,25774,69,37,Affectiva,MA,Waltham,Boston,4676.46,5017670.00,Software,1
70,Inc5000 Company List,70,24877,70,40,AdHarmonics,MA,Cambridge,Boston,4669.40,45929345.00,Advertising & Marketing,1
71,Inc5000 Company List,71,23088,71,28,Acordis International,FL,Miramar,Miami,4638.72,6000834.00,IT Services,2
72,Inc5000 Company List,72,26510,72,40,KRAVE Pure Foods,CA,Sonoma,Napa CA,4632.06,16940863.00,Food & Beverage,1
73,Inc5000 Company List,73,25018,73,175,Main Street Hub,TX,Austin,Austin,4625.32,9157664.00,Advertising & Marketing,1
74,Inc5000 Company List,74,26093,74,4,First Point Power,RI,East Greenwich,Providence-New Bedford-Fall River RI-MA,4355.23,23499000.00,Energy,1
75,Inc5000 Company List,75,26181,75,64,Ethology,AZ,Scottsdale,Phoenix,4219.42,8815804.00,Advertising & Marketing,1
76,Inc5000 Company List,76,22998,76,126,Regal Wings,NY,Brooklyn,New York City,4146.48,54355000.00,Travel & Hospitality,2
77,Inc5000 Company List,77,25843,77,23,Solect Energy Development,MA,Hopkinton,Boston,4101.34,12477972.00,Energy,1
78,Inc5000 Company List,78,25910,78,16,Old Pro Roofing,TX,Burleson,Dallas,4076.42,4897229.00,Construction,1
79,Inc5000 Company List,79,25062,79,53,Clean Energy Experts,CA,Manhattan Beach,Los Angeles,4063.59,6058237.00,Advertising & Marketing,1
80,Inc5000 Company List,80,25618,80,32,LogoUp.com,FL,Pompano Beach,Miami,4062.01,8003961.00,Retail,1
81,Inc5000 Company List,81,25868,81,28,ANALYTICA,DC,Washington,Washington DC,4056.16,15010399.00,IT Services,1
82,Inc5000 Company List,82,22919,82,131,Phunware,TX,Austin,Austin,4040.04,22119065.00,Software,2
83,Inc5000 Company List,83,25510,83,39,iCracked,CA,Redwood City,San Francisco,4033.25,7315850.00,Consumer Products & Services,1
84,Inc5000 Company List,84,25545,84,13,BuyBackWorld,NY,Long Island City,New York City,4011.21,4139786.00,Consumer Products & Services,1
85,Inc5000 Company List,85,25518,85,49,Tahzoo,DC,Washington,Washington DC,3946.39,5693350.00,Advertising & Marketing,1
86,Inc5000 Company List,86,24946,86,1250,Connexion Point,UT,Salt Lake City,Salt Lake City,3943.82,18286053.00,Health,1
