222,Inc5000 Company List,222,25143,222,22,Loqate,San Mateo,San Francisco,2025.76,4464093,Software,1,CA
237,Inc5000 Company List,237,26109,237,16,Levitate Media,San Francisco,San Francisco,1923.37,2094293,Media,1,CA
240,Inc5000 Company List,240,25334,240,25,Motiv Power Systems,Foster City,San Francisco,1900.47,2681071,Energy,1,CA
243,Inc5000 Company List,243,25001,243,125,LiveRail,San Francisco,San Francisco,1892.63,72731000,Advertising & Marketing,1,CA
247,Inc5000 Company List,247,26122,247,16,GreenRope,Cardiff,San Diego,1858.91,2129330,Software,1,CA
248,Inc5000 Company List,248,25329,248,385,Lending Club,San Francisco,San Francisco,1854.18,98002000,Financial Services,1,CA
249,Inc5000 Company List,249,26151,249,24,DrChrono,Mountain View,San Jose,1834.05,2863000,Health,1,CA
250,Inc5000 Company List,250,25612,250,75,Capstone (Sausalito CA),Sausalito,San Francisco,1832.21,13719024,Business Products & Services,1,CA
251,Inc5000 Company List,251,26108,251,4,Alcohol by Volume,Monterey,Salinas CA,1822.92,4492939,Food & Beverage,1,CA
253,Inc5000 Company List,253,26409,253,150,Tealium,San Diego,San Diego,1808.42,12462000,Software,1,CA
261,Inc5000 Company List,261,26286,261,22,Moore Heating & Air Conditioning,Santa Rosa,Santa Rosa-Petaluma CA,1757.63,3124754,Construction,1,CA
266,Inc5000 Company List,266,23017,266,70,TNH Advanced Specialty Pharmacy,Van Nuys,Los Angeles,1734.47,101455802,Health,2,CA
270,Inc5000 Company List,270,25092,270,69,GuideSpark,Menlo Park,San Francisco,1703.56,4058000,Software,1,CA
275,Inc5000 Company List,275,25684,275,24,Motivational Press,Carlsbad,San Diego,1675,2343000,Media,1,CA
301,Inc5000 Company List,301,25993,301,32,KeVita Sparkling Probiotic Drinks,Oxnard,Oxnard-Thousand Oaks-Ventura CA,1518.55,11168000,Food & Beverage,1,CA
302,Inc5000 Company List,302,25740,302,12,HoverCam,San Diego,San Diego,1517.02,4760241,Manufacturing,1,CA
308,Inc5000 Company List,308,25239,308,188,Softhq,San Diego,San Diego,1496.75,16058111,IT Services,1,CA
315,Inc5000 Company List,315,26404,315,15,MoTek Technologies,Valencia,Los Angeles,1475.48,2185028,IT Services,1,CA
323,Inc5000 Company List,323,25072,323,2,Gold Refinery of San Diego,San Diego,San Diego,1440.07,37821889,Financial Services,1,CA
326,Inc5000 Company List,326,26593,326,718,GoPro,San Mateo,San Francisco,1429.13,985737000,Consumer Products & Services,1,CA
329,Inc5000 Company List,329,24996,329,10,Outdoor Tech,Los Angeles,Los Angeles,1418.69,3013390,Consumer Products & Services,1,CA
332,Inc5000 Company List,332,24968,332,15,TitanLED,Simi Valley,Oxnard-Thousand Oaks-Ventura CA,1402.3,7866379,Manufacturing,1,CA
356,Inc5000 Company List,356,25102,356,17,Dope,Los Angeles,Los Angeles,1330.64,5350992,Consumer Products & Services,1,CA
363,Inc5000 Company List,363,25299,363,21,StemExpress,Placerville,Sacramento--Arden-Arcade--Roseville CA,1315.91,2213239,Health,1,CA
364,Inc5000 Company List,364,25442,364,23,BlissLights,Escondido,San Diego,1313.96,17188664,Consumer Products & Services,1,CA
369,Inc5000 Company List,369,24990,369,33,Six Spoke Media,San Francisco,San Francisco,1290.96,11940799,Advertising & Marketing,1,CA
373,Inc5000 Company List,373,25768,373,11,Back to the Roots,Oakland,San Francisco,1279.67,3338280,Consumer Products & Services,1,CA
376,Inc5000 Company List,376,25349,376,62,Invoca,Santa Barbara,Santa Barbara-Santa Maria-Goleta CA,1267.3,9407000,Software,1,CA
385,Inc5000 Company List,385,23389,385,31,Reliant Services Group,San Diego,San Diego,1217.05,5968009,Financial Services,2,CA
386,Inc5000 Company List,386,25075,386,18,PK4 Media,El Segundo,Los Angeles,1211.95,7109209,Advertising & Marketing,1,CA
394,Inc5000 Company List,394,23068,394,105,Babyhaven.com,Santa Fe Springs,Los Angeles,1185.53,17622027,Retail,2,CA
403,Inc5000 Company List,403,24977,403,45,Ruby Makeup Academy,Temple City,Los Angeles,1174.26,2119940,Education,1,CA
417,Inc5000 Company List,417,25668,417,11,SearchMarketers.com,Irvine,Los Angeles,1136.77,2069044,Advertising & Marketing,1,CA
419,Inc5000 Company List,419,25358,419,22,New Venture Escrow,San Diego,San Diego,1128.19,2045107,Real Estate,1,CA
424,Inc5000 Company List,424,25543,424,8,TK Media Direct,North Hollywood,Los Angeles,1119.88,12791083,Advertising & Marketing,1,CA
444,Inc5000 Company List,444,17392,444,38,I.T. Source,Los Angeles,Los Angeles,1074.99,102802777,IT Services,5,CA
448,Inc5000 Company List,448,25794,448,11,Rocktape,Los Gatos,San Jose,1068.02,5306631,Health,1,CA
451,Inc5000 Company List,451,25936,451,2,Servlinx,Santa Clara,San Jose,1052.26,2284325,IT Services,1,CA
453,Inc5000 Company List,453,25923,453,35,The Doctor's Choice,Los Angeles,Los Angeles,1048.94,2442110,Health,1,CA
465,Inc5000 Company List,465,26144,465,186,Coupa Software,San Mateo,San Francisco,1023.23,23180135,Software,1,CA
468,Inc5000 Company List,468,26133,468,40,Tracker Corp,San Francisco,San Francisco,1001.72,8340000,Software,1,CA
473,Inc5000 Company List,473,25435,473,21,EPtronics,Gardena,Los Angeles,996.85,13477907,Manufacturing,1,CA
475,Inc5000 Company List,475,26002,475,24,Solid Commerce,Marina Del Rey,Los Angeles,994.3,2278966,Software,1,CA
477,Inc5000 Company List,477,19303,477,309,Build Group,San Francisco,San Francisco,990.29,199407728,Construction,3,CA
479,Inc5000 Company List,479,26276,479,6,SeaSnax,Los Angeles,Los Angeles,988.24,3515000,Food & Beverage,1,CA
487,Inc5000 Company List,487,25844,487,7,Maven Recruiting Group,San Francisco,San Francisco,977.85,2069804,Human Resources,1,CA
